String             ,Template ,Mandatory ,Unique ,Config Parent ,Description
password           ,userdata ,true      ,true   ,root          ,User admin password
sshkey             ,userdata ,true      ,true   ,root          ,User admin publíc key (generated by the process)
lighthouse_address ,nebula   ,true      ,true   ,root          ,Public address of the Nebula lighthouse node
prometheus_address ,nebula   ,true      ,true   ,root          ,Nebula address of the prometheus node
vm_role            ,metadata ,true      ,true   ,root          ,Role of the VM (Should be a descriptive name with no spaces)
package            ,userdata ,false     ,false  ,package       ,Package to install
file_content       ,userdata ,false     ,false  ,write_file    ,Custom file content to write
file_path          ,userdata ,false     ,false  ,write_file    ,Custom file path to write content to)
command            ,userdata ,false     ,false  ,runcmd        ,Custom command to run at first boot
username           ,userdata ,false     ,false  ,user          ,User name to create
userfullname       ,userdata ,false     ,false  ,user          ,User full name to create
usershell          ,userdata ,false     ,false  ,user          ,Shell for the user to create
userlock           ,userdata ,false     ,false  ,user          ,Make user logeable
usergroups         ,userdata ,false     ,false  ,user          ,List of groups to add the user to
userpassword       ,userdata ,false     ,false  ,user          ,User password
usersshkey         ,userdata ,false     ,false  ,user          ,User public key to login
insert             ,userdata ,false     ,true   ,root          ,Insert arbitrary configuration data for cloud-init
